building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
33 Bond Street,40.6882557,-73.9832149,42464832,40.690663,-73.9853532,636.403
33 Bond Street,40.6882557,-73.9832149,42464834,40.690561,-73.985105,660.205
33 Bond Street,40.6882557,-73.9832149,42464836,40.690292,-73.984433,724.274
33 Bond Street,40.6882557,-73.9832149,42464838,40.6901448,-73.9840629,302.817
33 Bond Street,40.6882557,-73.9832149,42464844,40.6897015,-73.9829511,194.976
33 Bond Street,40.6882557,-73.9832149,42464847,40.689358,-73.982098,113.53500000000001
33 Bond Street,40.6882557,-73.9832149,42464848,40.6889411,-73.9810499,213.329
33 Bond Street,40.6882557,-73.9832149,42466438,40.6887841,-73.9835721,81.10100000000001
33 Bond Street,40.6882557,-73.9832149,42469226,40.6932563,-73.9881544,854.733
33 Bond Street,40.6882557,-73.9832149,42469228,40.6922794,-73.9881997,746.04
33 Bond Street,40.6882557,-73.9832149,42480566,40.693036,-73.984292,1044.2859999999998
33 Bond Street,40.6882557,-73.9832149,42480569,40.6930502,-73.9852301,965.1779999999999
33 Bond Street,40.6882557,-73.9832149,42480571,40.693088,-73.986226,881.1059999999999
33 Bond Street,40.6882557,-73.9832149,42481889,40.6949665,-73.987162,999.6229999999999
33 Bond Street,40.6882557,-73.9832149,42491554,40.6959659,-73.9845903,1333.218
33 Bond Street,40.6882557,-73.9832149,42491582,40.6911662,-73.9821756,664.36
33 Bond Street,40.6882557,-73.9832149,42491585,40.6899297,-73.9815542,369.968
33 Bond Street,40.6882557,-73.9832149,42491589,40.688761,-73.980843,239.888
33 Bond Street,40.6882557,-73.9832149,42492210,40.6904673,-73.9878775,489.519
33 Bond Street,40.6882557,-73.9832149,42492213,40.6898629,-73.9882859,565.033
33 Bond Street,40.6882557,-73.9832149,42494919,40.6922042,-73.9862727,662.9300000000001
33 Bond Street,40.6882557,-73.9832149,42494920,40.6921587,-73.9852776,651.8629999999999
33 Bond Street,40.6882557,-73.9832149,42494921,40.6921272,-73.9843423,572.929
33 Bond Street,40.6882557,-73.9832149,42494924,40.6920899,-73.9833969,493.113
33 Bond Street,40.6882557,-73.9832149,42496432,40.691039,-73.9894028,633.213
33 Bond Street,40.6882557,-73.9832149,42497737,40.6960551,-73.9871076,1120.758
33 Bond Street,40.6882557,-73.9832149,42502404,40.689222,-73.9846917,187.31900000000002
33 Bond Street,40.6882557,-73.9832149,42510861,40.6901632,-73.9870995,415.72
33 Bond Street,40.6882557,-73.9832149,42515825,40.6903899,-73.9898327,714.0459999999999
33 Bond Street,40.6882557,-73.9832149,42523094,40.6890086,-73.9861587,364.778
33 Bond Street,40.6882557,-73.9832149,42523684,40.6896291,-73.985733,286.09900000000005
33 Bond Street,40.6882557,-73.9832149,42523688,40.688451,-73.9827164,0.0
33 Bond Street,40.6882557,-73.9832149,42523691,40.6879371,-73.9813995,124.877
33 Bond Street,40.6882557,-73.9832149,42523903,40.6905587,-73.9826854,744.427
33 Bond Street,40.6882557,-73.9832149,278630368,40.692096,-73.9889495,743.359
33 Bond Street,40.6882557,-73.9832149,278630910,40.6909958,-73.9892384,618.543
33 Bond Street,40.6882557,-73.9832149,278631323,40.6903367,-73.9896591,729.833
33 Bond Street,40.6882557,-73.9832149,278632281,40.6925287,-73.9888795,791.931
33 Bond Street,40.6882557,-73.9832149,278632502,40.6950187,-73.9886923,1069.516
33 Bond Street,40.6882557,-73.9832149,278632503,40.6961134,-73.988653,1191.3260000000002
33 Bond Street,40.6882557,-73.9832149,588036470,40.6910889,-73.986427,534.23
33 Bond Street,40.6882557,-73.9832149,597844593,40.6929609,-73.9833513,1242.744
33 Bond Street,40.6882557,-73.9832149,597844596,40.6930266,-73.9831149,1252.713
33 Bond Street,40.6882557,-73.9832149,597844756,40.6924916,-73.9905666,887.868
33 Bond Street,40.6882557,-73.9832149,597844772,40.6936062,-73.9835754,1167.8249999999998
